singular,plural,sg_token_id,pl_token_id,category,sg_log_freq,pl_log_freq,sg_band,pl_band,same_band,sg_len
car,cars,1113,8458,OBJECT_NOUN,2.003879488122212,1.3251494170466835,very_high,high,False,3
house,houses,2419,9910,PLACE_NOUN,1.9855686588823764,1.213148396327672,very_high,high,False,5
object,objects,1789,5113,OBJECT_NOUN,1.9781814015948664,1.6250411943862761,very_high,high,False,6
city,cities,2846,8238,PLACE_NOUN,1.967245732811436,1.3319593821637161,very_high,high,False,4
property,properties,2867,3607,OBJECT_NOUN,1.9618106122043035,1.833879674563494,very_high,very_high,True,8
paper,papers,2929,9380,OBJECT_NOUN,1.9441497640908023,1.251526532876435,very_high,high,False,5
food,foods,2739,12134,OBJECT_NOUN,1.93670888591606,1.0905756302248006,very_high,medium,False,4
heart,hearts,2798,15060,OBJECT_NOUN,1.923998817276787,0.9430584279638192,very_high,medium,False,5
table,tables,2829,7180,OBJECT_NOUN,1.919233240249179,1.1827411935338639,very_high,medium,False,5
party,parties,3128,4676,OBJECT_NOUN,1.917756962225448,1.678867106614797,very_high,high,False,5
product,products,1885,3580,OBJECT_NOUN,1.9102890966293864,1.8382773332959341,very_high,very_high,True,7
film,films,3085,6590,OBJECT_NOUN,1.908051035949328,1.4633032196620244,very_high,high,False,4
page,pages,3239,7223,OBJECT_NOUN,1.895273933122043,1.4183972328201937,very_high,high,False,4
check,checks,2451,12255,OBJECT_NOUN,1.8908851991690927,1.0810724476930484,very_high,medium,False,5
gene,genes,3320,3608,OBJECT_NOUN,1.8797193112927324,1.8360388783837636,very_high,very_high,True,4
ground,grounds,3216,9905,PLACE_NOUN,1.873638638641494,1.2172680636845221,very_high,high,False,6
market,markets,2791,10169,PLACE_NOUN,1.8556205599411424,1.2077661909249684,very_high,high,False,6
door,doors,3369,11008,OBJECT_NOUN,1.8541102260205733,1.1561745410664528,very_high,medium,False,4
video,videos,3492,10556,OBJECT_NOUN,1.854095218054312,1.1889153537856096,very_high,high,False,5
district,districts,3286,16475,PLACE_NOUN,1.8403627872852537,0.8829026758133544,very_high,medium,False,8
cross,crosses,2831,25808,OBJECT_NOUN,1.8389026519876328,0.6040785977149018,very_high,low,False,5
acid,acids,3527,9532,OBJECT_NOUN,1.8313956376972969,1.2523932308858472,very_high,high,False,4
building,buildings,3652,9195,PLACE_NOUN,1.8276637679907968,1.2621575617376566,very_high,high,False,8
answer,answers,3662,9172,OBJECT_NOUN,1.8239419762335167,1.267317497670149,very_high,high,False,6
path,paths,1854,11865,PLACE_NOUN,1.821572168632899,1.0963756761686,very_high,medium,False,4
land,lands,2659,13446,PLACE_NOUN,1.8213197518504325,1.031984499940789,very_high,medium,False,4
bar,bars,2534,8965,PLACE_NOUN,1.8122094343868715,1.2827722805928174,very_high,high,False,3
gas,gases,3678,21379,OBJECT_NOUN,1.790869205343672,0.7289584397925636,very_high,medium,False,3
note,notes,3877,7211,OBJECT_NOUN,1.7868553552232795,1.4160823898528498,very_high,high,False,4
office,offices,3906,14145,PLACE_NOUN,1.7864479863712497,0.9786016910779024,very_high,medium,False,6
map,maps,3711,8115,OBJECT_NOUN,1.7816928144499091,1.3464325428919226,very_high,high,False,3
stage,stages,3924,8661,PLACE_NOUN,1.779428271761911,1.3068795311723074,very_high,high,False,5
brain,brains,3998,19795,OBJECT_NOUN,1.7744935747410533,0.7716718507746482,very_high,medium,False,5
fire,fires,3289,19333,OBJECT_NOUN,1.773305944948471,0.7834014060082923,very_high,medium,False,4
drug,drugs,2854,5835,OBJECT_NOUN,1.768787428674072,1.5486243634556673,very_high,high,False,4
message,messages,3935,8169,OBJECT_NOUN,1.765601949284681,1.3378843796510524,very_high,high,False,7
center,centers,4055,12127,PLACE_NOUN,1.7593829627776474,1.0890856692415611,very_high,medium,False,6
block,blocks,2972,8336,OBJECT_NOUN,1.751485162126783,1.3325649351673166,very_high,high,False,5
oil,oils,4166,24201,OBJECT_NOUN,1.747329367613665,0.6513728404540323,very_high,medium,False,3
argument,arguments,4154,7125,OBJECT_NOUN,1.7460425797349364,1.4159386556561777,very_high,high,False,8
charge,charges,4179,7260,OBJECT_NOUN,1.7410391196748607,1.4085401132070987,very_high,high,False,6
sign,signs,861,7871,OBJECT_NOUN,1.7345111261981585,1.366561788029251,very_high,high,False,4
band,bands,3961,10604,OBJECT_NOUN,1.7244189832472785,1.1831840020975857,high,medium,False,4
agreement,agreements,4345,15486,OBJECT_NOUN,1.720897367586154,0.9299500860214556,high,medium,False,9
location,locations,4328,8593,PLACE_NOUN,1.7199265910753714,1.308794447529693,high,high,True,8
wall,walls,3402,8099,PLACE_NOUN,1.7090584616465925,1.341892541492206,high,high,True,4
town,towns,3874,15918,PLACE_NOUN,1.7067266077342766,0.8984916958204318,high,medium,False,4
tissue,tissues,4408,7944,OBJECT_NOUN,1.7057757236505982,1.3544193908510134,high,high,True,6
phone,phones,4481,15169,OBJECT_NOUN,1.705679386121472,0.9456281600647087,high,medium,False,5
match,matches,3761,10129,OBJECT_NOUN,1.6884163991522751,1.1944701316172865,high,high,True,5
copy,copies,3491,10125,OBJECT_NOUN,1.687532840460438,1.2144919592204941,high,high,True,4
window,windows,3497,8323,PLACE_NOUN,1.685304515768486,1.3594053330703424,high,high,True,6
road,roads,3971,13939,PLACE_NOUN,1.684783967949655,0.9868132266742494,high,medium,False,4
box,boxes,3817,12783,OBJECT_NOUN,1.683936287726463,1.0580951486945518,high,medium,False,3
store,stores,4657,10111,PLACE_NOUN,1.6801398614789975,1.210982283180293,high,high,True,5
cover,covers,3835,10949,OBJECT_NOUN,1.6788060364282422,1.1566954201042148,high,medium,False,5
produce,produces,4711,11330,OBJECT_NOUN,1.673494075631125,1.1304347821143186,high,medium,False,7
board,boards,4450,16431,OBJECT_NOUN,1.672235594304555,0.8909857873382634,high,medium,False,5
screen,screens,3601,14584,OBJECT_NOUN,1.6620577128501588,0.8615780611387207,high,medium,False,6
bed,beds,3722,20534,OBJECT_NOUN,1.6617485129022744,0.7458489152443254,high,medium,False,3
skin,skins,4808,39274,OBJECT_NOUN,1.6613125729353644,0.2862358139356366,high,low,False,4
hair,hairs,4707,39746,OBJECT_NOUN,1.6601931251407864,0.29254416102896386,high,low,False,4
tumor,tumors,4502,8837,OBJECT_NOUN,1.6600197593706767,1.2661150812665716,high,high,True,5
collection,collections,4849,18406,OBJECT_NOUN,1.657672968334813,0.8137301593842485,high,medium,False,10
letter,letters,4857,4876,OBJECT_NOUN,1.6543811767030825,1.6507266045020583,high,high,True,6
vehicle,vehicles,4958,9411,OBJECT_NOUN,1.6463226824287656,1.2626494353842495,high,high,True,7
portion,portions,5110,11821,OBJECT_NOUN,1.6320377209011818,1.1145636260116192,high,medium,False,7
infection,infections,5066,10332,OBJECT_NOUN,1.6300279456129645,1.190842108077182,high,high,True,9
tool,tools,4968,5657,OBJECT_NOUN,1.6288876036371505,1.5594719385707663,high,high,True,4
plant,plants,4444,6244,OBJECT_NOUN,1.6287503501857992,1.5057326249962582,high,high,True,5
arm,arms,4430,6174,OBJECT_NOUN,1.6282698937595956,1.5140014561802972,high,high,True,3
eye,eyes,5130,2927,OBJECT_NOUN,1.6261655487004685,1.9531720476575682,high,very_high,False,3
metal,metals,5148,18494,OBJECT_NOUN,1.6243535011853023,0.8267669949548488,high,medium,False,5
hospital,hospitals,4675,13240,PLACE_NOUN,1.6204009145886895,1.0441603575805807,high,medium,False,8
card,cards,3120,8364,OBJECT_NOUN,1.6118148892156694,1.3170809660378313,high,high,True,4
watch,watches,3698,28654,OBJECT_NOUN,1.610269419763527,0.5136592999363592,high,low,False,5
floor,floors,5254,23467,PLACE_NOUN,1.610159718988317,0.6388576601281343,high,low,False,5
tree,trees,5202,7139,OBJECT_NOUN,1.609180489849103,1.4190511566570092,high,high,True,4
column,columns,5084,9930,OBJECT_NOUN,1.6079997373120007,1.2052098456043245,high,high,True,6
star,stars,4177,6114,OBJECT_NOUN,1.606767765575308,1.5079489482059116,high,high,True,4
piece,pieces,5313,7437,OBJECT_NOUN,1.6046992241068547,1.4033234069760248,high,high,True,5
shot,shots,5103,13768,OBJECT_NOUN,1.603183656665635,1.007339549094467,high,medium,False,4
pair,pairs,4667,8557,OBJECT_NOUN,1.602730236637608,1.310403937459947,high,high,True,4
novel,novels,4460,19204,OBJECT_NOUN,1.6021300528394748,0.7769583526597234,high,medium,False,5
panel,panels,5370,12471,OBJECT_NOUN,1.5952446356796388,1.0734097986953859,high,medium,False,5
track,tracks,3540,11411,OBJECT_NOUN,1.5926841278711863,1.1375104990203697,high,medium,False,5
frame,frames,3665,13009,OBJECT_NOUN,1.590059332591211,1.0396135597557121,high,medium,False,5
picture,pictures,5406,7968,OBJECT_NOUN,1.5848182228883476,1.355168580351543,high,high,True,7
race,races,5492,15820,OBJECT_NOUN,1.5795291736470287,0.9130461660223068,high,medium,False,4
item,items,5382,4957,OBJECT_NOUN,1.57869876684167,1.6434978943394618,high,high,True,4
station,stations,4660,10988,PLACE_NOUN,1.578028003158373,1.153242904588892,high,medium,False,7
load,loads,3301,16665,OBJECT_NOUN,1.5773374322580964,0.888903786097387,high,medium,False,4
row,rows,4194,10175,OBJECT_NOUN,1.5764012166212915,1.1974750810223787,high,high,True,3
document,documents,3389,7177,OBJECT_NOUN,1.576078707310509,1.4164917826189865,high,high,True,8
wave,waves,5149,10212,OBJECT_NOUN,1.5669416560648357,1.20061417455469,high,high,True,4
gun,guns,5654,11942,OBJECT_NOUN,1.5637284059706773,1.1021134696871824,high,medium,False,3
liquid,liquids,5558,32819,OBJECT_NOUN,1.5587751452960312,0.4327373442161516,high,low,False,6
port,ports,2245,17596,PLACE_NOUN,1.5566987208519378,0.8303144484430522,high,medium,False,4
package,packages,5522,12149,OBJECT_NOUN,1.5550098050401733,1.119039216697837,high,medium,False,7
stock,stocks,5739,19487,OBJECT_NOUN,1.553964318765518,0.7820175209766853,high,medium,False,5
ball,balls,4023,15254,OBJECT_NOUN,1.5488699220866635,0.9340594734473221,high,medium,False,4
cycle,cycles,5880,11945,OBJECT_NOUN,1.542895846441384,1.1079098004583672,high,medium,False,5
animal,animals,5893,5074,OBJECT_NOUN,1.5423829608052897,1.6347648149726557,high,high,True,6
radio,radios,5553,40908,OBJECT_NOUN,1.5398449886573715,0.2768942737841783,high,low,False,5
surgery,surgeries,5869,37966,OBJECT_NOUN,1.5395030059937873,0.3326261102716823,high,low,False,7
counter,counters,4828,33605,OBJECT_NOUN,1.5381729995486546,0.3893013791089167,high,low,False,7
chain,chains,5931,13178,OBJECT_NOUN,1.5365084358998244,1.0311953923026942,high,medium,False,5
glass,glasses,5253,17543,OBJECT_NOUN,1.534888073570309,0.8468718562411086,high,medium,False,5
entry,entries,5857,12028,PLACE_NOUN,1.5332002888380412,1.0878961804529095,high,medium,False,5
bone,bones,5961,14910,OBJECT_NOUN,1.5239565917766011,0.9465195167025928,high,medium,False,4
ring,rings,5818,14445,OBJECT_NOUN,1.5212952102234216,0.984770542697693,high,medium,False,4
song,songs,4498,9575,OBJECT_NOUN,1.5212650937403884,1.253092231958946,high,high,True,4
motor,motors,5694,29247,OBJECT_NOUN,1.5209987051236002,0.5144184450377894,high,low,False,5
handle,handles,6016,22139,OBJECT_NOUN,1.5208805873176656,0.7013659225113964,high,medium,False,6
sea,seas,6150,26634,PLACE_NOUN,1.516529616240422,0.5606591380801375,high,low,False,3
dog,dogs,4370,9097,OBJECT_NOUN,1.5120429993123967,1.2655762355043934,high,high,True,3
dose,doses,6178,12768,OBJECT_NOUN,1.5082709318528569,1.0528597838706528,high,medium,False,4
church,churches,6105,18777,PLACE_NOUN,1.5056888958556878,0.7983077760021466,high,medium,False,6
cent,cents,1399,23903,OBJECT_NOUN,1.4995175818923516,0.6394732851582815,high,low,False,4
membrane,membranes,6384,15403,OBJECT_NOUN,1.4972473793503958,0.9391694319562133,high,medium,False,8
platform,platforms,5147,13498,PLACE_NOUN,1.4946351887547336,1.0144433998088564,high,medium,False,8
bank,banks,4310,10907,PLACE_NOUN,1.4935698332911544,1.1670590026776166,high,medium,False,4
net,nets,2036,37507,OBJECT_NOUN,1.4933720274669495,0.3341262050809921,high,low,False,3
movie,movies,6440,11321,OBJECT_NOUN,1.489891943142073,1.1313149193889787,high,medium,False,5
foot,feet,3174,4669,OBJECT_NOUN,1.4895339044741158,1.6825832464187895,high,high,True,4
library,libraries,6335,13747,PLACE_NOUN,1.4888756916854105,0.9964984600117086,high,medium,False,7
receptor,receptors,6437,10185,OBJECT_NOUN,1.4866994152437305,1.2062600450473178,high,high,True,8
street,streets,6406,10198,PLACE_NOUN,1.4843647269955695,1.2002985097912213,high,high,True,6
flat,flats,6507,47350,OBJECT_NOUN,1.481097404116538,0.15738596637780086,high,low,False,4
plane,planes,6415,16340,OBJECT_NOUN,1.4787522232441055,0.8673999865929519,high,medium,False,5
mouth,mouths,6208,37111,OBJECT_NOUN,1.478448328525639,0.3157009941302948,high,low,False,5
button,buttons,6409,16020,OBJECT_NOUN,1.4771459071480817,0.8961730915746415,high,medium,False,6
club,clubs,5453,15202,PLACE_NOUN,1.47426220116947,0.9405705048436557,high,medium,False,4
ship,ships,6215,11811,OBJECT_NOUN,1.4740109869046742,1.1013765675105311,high,medium,False,4
mouse,mice,6521,3754,OBJECT_NOUN,1.473559933011268,1.802318821519747,high,very_high,False,5
substrate,substrates,6605,16007,OBJECT_NOUN,1.4722839263694547,0.9113250165722526,high,medium,False,9
stream,streams,5542,17795,PLACE_NOUN,1.4699304168565848,0.8371917888333024,high,medium,False,6
virus,viruses,6581,14781,OBJECT_NOUN,1.4683731013564585,0.947676254133606,high,medium,False,5
muscle,muscles,6616,13370,OBJECT_NOUN,1.467499022954108,1.0377137791868167,high,medium,False,6
cup,cups,5500,15107,OBJECT_NOUN,1.466833896584279,0.9517402952546414,high,medium,False,3
camera,cameras,6568,14693,OBJECT_NOUN,1.4618126867546226,0.9546488122105272,high,medium,False,6
spot,spots,6308,13977,PLACE_NOUN,1.4611185640098003,0.987457030907841,high,medium,False,4
square,squares,6278,19325,OBJECT_NOUN,1.458885025866684,0.7736193317006955,high,medium,False,6
delivery,deliveries,6742,40547,OBJECT_NOUN,1.457363168600582,0.29165838444782555,high,low,False,8
baby,babies,6858,18740,OBJECT_NOUN,1.4563312013689993,0.8179306423694974,high,medium,False,4
plate,plates,5340,10855,OBJECT_NOUN,1.456162571655463,1.1712742752646397,high,medium,False,5
peak,peaks,5241,13596,OBJECT_NOUN,1.4499895897536756,1.0233676617833618,high,medium,False,4
college,colleges,6831,24267,PLACE_NOUN,1.4474556559997147,0.6271356795111366,high,low,False,7
apparatus,apparatuses,6576,39042,OBJECT_NOUN,1.446622673823187,0.30830634995362993,high,low,False,9
cast,casts,5248,43603,OBJECT_NOUN,1.4441773967682776,0.2310678347106112,high,low,False,4
train,trains,6194,18784,PLACE_NOUN,1.4385673866544504,0.7968299468744768,high,medium,False,5
secret,secrets,4279,20196,OBJECT_NOUN,1.4364260637747637,0.7602149627556569,high,medium,False,6
album,albums,5400,16258,OBJECT_NOUN,1.4349308112177004,0.9008680091783934,high,medium,False,5
breast,breasts,5988,25960,OBJECT_NOUN,1.4337955616227034,0.5825429490480774,high,low,False,6
border,borders,5680,18275,PLACE_NOUN,1.429562259719471,0.81892777825112,high,medium,False,6
spring,springs,7203,29121,PLACE_NOUN,1.421913373578546,0.526596123518689,high,low,False,6
corner,corners,7145,18803,PLACE_NOUN,1.4218655401902476,0.8020939780527981,high,medium,False,6
bus,buses,1685,23444,PLACE_NOUN,1.4203349428067016,0.6221500696028772,high,low,False,3
rock,rocks,5561,16419,OBJECT_NOUN,1.4194148921112253,0.8900165226265033,high,medium,False,4
pathway,pathways,7178,9130,PLACE_NOUN,1.4163373066108595,1.2785644612528402,high,high,True,7
salt,salts,7043,26793,OBJECT_NOUN,1.4161718942272856,0.5791077785815454,high,low,False,4
prop,props,4198,29060,OBJECT_NOUN,1.4118424602545236,0.4591155709738543,high,low,False,4
suit,suits,4176,19519,OBJECT_NOUN,1.4079519214886465,0.7845389627818165,high,medium,False,4
leg,legs,1791,9246,OBJECT_NOUN,1.406380488713388,1.2684385880375613,high,high,True,3
seat,seats,7319,13512,OBJECT_NOUN,1.405253853963822,1.0227317177009863,high,medium,False,4
disk,disks,7592,22916,OBJECT_NOUN,1.400842046490175,0.6787878107403507,high,medium,False,4
joint,joints,6036,22136,OBJECT_NOUN,1.3989992288283246,0.7020241368028932,high,medium,False,5
strain,strains,7372,8709,OBJECT_NOUN,1.3984723935637402,1.3018199976601452,high,high,True,6
photo,photos,7512,7963,OBJECT_NOUN,1.3963187150877916,1.3248132697998443,high,high,True,5
assay,assays,6981,12277,OBJECT_NOUN,1.3954147854060517,1.077328288200056,high,medium,False,5
fuel,fuels,7236,29095,OBJECT_NOUN,1.3940949593994256,0.5206560400242304,high,low,False,4
disc,discs,1262,28217,OBJECT_NOUN,1.3920946124625446,0.5288437268506652,high,low,False,4
trip,trips,7408,19055,PLACE_NOUN,1.3918443750783105,0.7978303269488731,high,medium,False,4
lung,lungs,6400,18926,OBJECT_NOUN,1.3894353691389842,0.802352796972061,high,medium,False,4
electron,electrons,6488,14465,OBJECT_NOUN,1.3877399999865918,0.9722135790978677,high,medium,False,8
camp,camps,2986,19509,PLACE_NOUN,1.386666105078746,0.7712002211950332,high,medium,False,4
recording,recordings,7663,19654,OBJECT_NOUN,1.3863941686979553,0.7853915434568509,high,medium,False,9
hole,holes,7793,11385,OBJECT_NOUN,1.3795332999698824,1.1369699866198226,high,medium,False,4
mixture,mixtures,7802,24170,OBJECT_NOUN,1.3774252515515637,0.6425782751421287,high,low,False,7
bag,bags,7351,15284,OBJECT_NOUN,1.37723394706336,0.9387929591694737,high,medium,False,3
village,villages,7773,18430,PLACE_NOUN,1.3728614392450729,0.8058583209967765,high,medium,False,7
treat,treats,1555,26574,OBJECT_NOUN,1.3694972456504233,0.577634969386075,high,low,False,5
cat,cats,5798,16581,OBJECT_NOUN,1.3659123636097965,0.8739913820221289,high,medium,False,3
drink,drinks,5484,17208,OBJECT_NOUN,1.359243773528581,0.8559598651154708,high,medium,False,5
payment,payments,7830,10762,OBJECT_NOUN,1.3591636359235424,1.1656735010811576,high,medium,False,7
plot,plots,7484,14777,OBJECT_NOUN,1.3555478616695165,0.9668054442045916,high,medium,False,4
wood,woods,5534,18557,OBJECT_NOUN,1.3546195399494134,0.8233638390074307,high,medium,False,4
fan,fans,7989,7458,OBJECT_NOUN,1.3530280220649504,1.3956040694010106,high,high,True,3
cap,caps,1729,12839,OBJECT_NOUN,1.3514650616326878,0.781791747087522,high,medium,False,3
antibody,antibodies,8092,8740,OBJECT_NOUN,1.3512005924689314,1.3046924769963342,high,high,True,8
conference,conferences,8059,27691,PLACE_NOUN,1.3471134937837097,0.5467852625206007,high,low,False,10
petition,petitions,5266,33432,OBJECT_NOUN,1.3463216423748792,0.3948523857325925,high,low,False,8
terminal,terminals,8351,20737,PLACE_NOUN,1.3458271679463203,0.7381991676266062,high,medium,False,8
manuscript,manuscripts,7714,40336,OBJECT_NOUN,1.3434894172429588,0.2972010389429186,high,low,False,10
laser,lasers,8166,37412,OBJECT_NOUN,1.343190425320778,0.3564070594297525,high,low,False,5
thread,threads,6293,17059,OBJECT_NOUN,1.3409848384216432,0.8675466945326119,high,medium,False,6
sight,sights,8184,29962,OBJECT_NOUN,1.339597896788955,0.44507715434246875,high,low,False,5
gate,gates,7394,18488,PLACE_NOUN,1.3395118646682558,0.8101236031304038,high,medium,False,4
prison,prisons,5754,37704,PLACE_NOUN,1.3384868452096104,0.34304321732571996,high,low,False,6
zone,zones,8232,18192,PLACE_NOUN,1.3364055043974836,0.8353203499967908,high,medium,False,4
river,rivers,8281,21646,PLACE_NOUN,1.3353956529939264,0.7129920459420789,high,medium,False,5
award,awards,5722,16620,OBJECT_NOUN,1.333532161174221,0.8860313193118883,high,medium,False,5
beam,beams,8325,20435,OBJECT_NOUN,1.3312828536139496,0.7507180032524737,high,medium,False,4
estate,estates,8304,42183,PLACE_NOUN,1.327391130138882,0.261538408071159,high,low,False,6
sheet,sheets,8335,14526,OBJECT_NOUN,1.3251114868016816,0.9734332249222738,high,medium,False,5
flag,flags,7908,12201,OBJECT_NOUN,1.322058560620735,1.071632901438731,high,medium,False,4
organ,organs,1963,15384,OBJECT_NOUN,1.3171394100745033,0.9306178214063022,high,medium,False,5
pool,pools,6363,24283,PLACE_NOUN,1.314418530703189,0.6272169638716797,high,low,False,4
spirit,spirits,5968,19851,OBJECT_NOUN,1.3116540847717726,0.7654491833507759,high,medium,False,6
sky,skies,8467,37575,PLACE_NOUN,1.3115702459991578,0.3436314877070214,high,low,False,3
waste,wastes,8138,47334,OBJECT_NOUN,1.3075376692414549,0.1615907603917794,high,low,False,5
pot,pots,1721,36612,OBJECT_NOUN,1.3074924648580857,0.35459395057684967,high,low,False,3
sugar,sugars,8618,36984,OBJECT_NOUN,1.3066966966497988,0.35131437971165913,high,low,False,5
hotel,hotels,8614,21440,PLACE_NOUN,1.3066601205064277,0.6911300382909086,high,medium,False,5
wine,wines,8995,33707,OBJECT_NOUN,1.3062166755384783,0.4819526757763866,high,low,False,4
horse,horses,8815,12074,OBJECT_NOUN,1.3051458680631296,1.0768049018699477,high,medium,False,5
branch,branches,7789,12998,PLACE_NOUN,1.303036067372473,1.0483516972111986,high,medium,False,6
injection,injections,8829,25602,OBJECT_NOUN,1.3009958806056596,0.6041041702229216,high,low,False,9
park,parks,5603,21952,PLACE_NOUN,1.297758069387409,0.6939921895665936,high,medium,False,4
plastic,plastics,8013,45896,OBJECT_NOUN,1.2976690246054137,0.20030033510247766,high,low,False,7
quarter,quarters,7150,19902,OBJECT_NOUN,1.297182639062148,0.7655102862378318,high,medium,False,7
bug,bugs,7505,19775,OBJECT_NOUN,1.2938920349789915,0.7820402353670843,high,medium,False,3
flight,flights,8630,20818,OBJECT_NOUN,1.2936305539018746,0.7190966356659616,high,medium,False,6
chair,chairs,6951,21583,OBJECT_NOUN,1.2933216960469975,0.7161640170753052,high,medium,False,5
soil,soils,8825,31344,OBJECT_NOUN,1.2900882177915944,0.4587472843045415,high,low,False,4
cloud,clouds,9005,16173,OBJECT_NOUN,1.2900786433679834,0.9023693972077322,high,medium,False,5
clock,clocks,8886,38620,OBJECT_NOUN,1.2858323934529263,0.3111735758885449,high,low,False,5
island,islands,8930,17546,PLACE_NOUN,1.284614842919068,0.8516986641952486,high,medium,False,6
shop,shops,8979,16999,PLACE_NOUN,1.284569443410266,0.8628800834426326,high,medium,False,4
pan,pans,3199,45039,OBJECT_NOUN,1.2827355955810238,0.22979487094105333,high,low,False,3
stick,sticks,7356,24094,OBJECT_NOUN,1.2796136676884733,0.6389321263780173,high,low,False,5
uniform,uniforms,6447,36137,OBJECT_NOUN,1.2792527490131511,0.35433797390887584,high,low,False,7
stone,stones,8805,17380,OBJECT_NOUN,1.2788336463045835,0.8446749326903651,high,medium,False,5
genome,genomes,9128,21885,OBJECT_NOUN,1.2784151299031312,0.7090039823582167,high,medium,False,6
container,containers,8781,17671,OBJECT_NOUN,1.2781632313077678,0.8187535819764262,high,medium,False,9
promise,promises,9023,16966,OBJECT_NOUN,1.2774557921500762,0.8609863897767936,high,medium,False,7
shoulder,shoulders,9215,13574,OBJECT_NOUN,1.2764369688013353,1.019659017748341,high,medium,False,8
circle,circles,9096,14240,OBJECT_NOUN,1.2750118294046264,0.9865845793012047,high,medium,False,6
crystal,crystals,9266,20642,OBJECT_NOUN,1.2729353864414212,0.7642773764495907,high,medium,False,7
menu,menus,8910,37829,OBJECT_NOUN,1.2717313347206023,0.34359802494549146,high,low,False,4
tour,tours,4892,24478,PLACE_NOUN,1.2693751394252055,0.6164303691269707,high,low,False,4
meat,meats,9132,47098,OBJECT_NOUN,1.2690235265507308,0.16285305553966425,high,low,False,4
wire,wires,6371,20343,OBJECT_NOUN,1.2674175228641174,0.764481818352436,high,medium,False,4
centre,centres,9145,23221,PLACE_NOUN,1.2673146819310734,0.6647218741749533,high,medium,False,6
roll,rolls,4533,21968,OBJECT_NOUN,1.2668312771313712,0.6927358945777091,high,medium,False,4
chamber,chambers,9320,23462,PLACE_NOUN,1.2667265742003535,0.6602128760879381,high,medium,False,7
pet,pets,7590,29286,OBJECT_NOUN,1.2666273297980082,0.5203630726123819,high,low,False,3
battery,batteries,9378,19978,OBJECT_NOUN,1.264565648723123,0.773618844152822,high,medium,False,7
tube,tubes,9402,17080,OBJECT_NOUN,1.2632403231267908,0.8669982993014519,high,medium,False,4
shell,shells,8135,24383,OBJECT_NOUN,1.2616297881605316,0.6417005702908711,high,low,False,5
facility,facilities,9509,9189,PLACE_NOUN,1.2570232900943143,1.2775605377137251,high,high,True,8
fiber,fibers,9538,13154,OBJECT_NOUN,1.2544854984658065,1.0433083314127722,high,medium,False,5
rose,roses,9461,38910,OBJECT_NOUN,1.2540493679839662,0.31781241400872323,high,low,False,4
enzyme,enzymes,9548,12807,OBJECT_NOUN,1.249304499700052,1.065342863756271,high,medium,False,6
lock,locks,5569,24811,OBJECT_NOUN,1.2443082628754758,0.6171768129514978,high,low,False,4
bear,bears,8800,17267,OBJECT_NOUN,1.2441316578479564,0.8453541283977483,high,medium,False,4
forest,forests,9741,21327,PLACE_NOUN,1.2429284051097196,0.7354107227751036,high,medium,False,6
