"token_id","token_string","count"
"626","'t","282980547"
"625","Ġmore","278141414"
"36","C","274656070"
"374","Ġ2","274063708"
"52","S","266735736"
"617","Ġher","266306080"
"644","Ġbeen","263081196"
"424","**","262014147"
"67","b","260573495"
"634","Ġyour","253575999"
"604","Ġif","250898206"
"619","Ġmy","249875223"
"582","),","249243885"
"68","c","247954679"
"249","in","247413909"
"81","p","246983787"
"562","Ġout","246591377"
"329","ĠA","246476886"
"651","Ġwould","245193444"
"551","Ġ{","242747134"
"78","m","242413512"
"594","Ġso","239333837"
"670","Ġabout","239054417"
"671","Ġalso","238237189"
"672","Ġwhen","237463243"
"50275","   ","237338688"
"627","Ġthere","235884844"
"578","_{","235375369"
"673","Ġtime","232851590"
"30","=","228486458"
"496","ĠIn","228165346"
"669","Ġ$\","226491661"
"62","]","225036626"
"598","Ġup","224846113"
"642","Ġno","224088115"
"643","Ġother","220349565"
"513","Ġdo","219870060"
"76","k","218956020"
"71","f","216805525"
"665","Ġwho","215803666"
"715","Ġinto","210053628"
"70","e","209277306"
"23","6","208286878"
"60","[","207808855"
"685","Ġthan","207287915"
"63","^","204449781"
"479","Ġme","203232010"
"272","ing","201453701"
"495","Ġ3","200016300"
"558",");","197818113"
"90","y","197516234"
"72","g","196257913"
"753","Ġsaid","196169047"
"697","Ġits","194816533"
"37","D","193758222"
"752","Ġwhat","193655307"
"50266","            ","193615072"
"751","Ġlike","193459153"
"0","<|endoftext|>","190261955"
"760","Ġonly","190255641"
"767","Ġtwo","189375208"
"25","8","188463392"
"50272","      ","187595195"
"39","F","187307414"
"703","Ġshe","185235917"
"773","ĠâĢľ","184337029"
"686","Ġ'","182358517"
"49","P","182139195"
"80","o","181903085"
"24","7","180661234"
"322","ĠS","180221969"
"733","ĠIt","180050867"
"690","Ġsome","179903601"
"51","R","179829973"
"53","T","179392877"
"776","Ġour","179170170"
"731","Ġthem","178780711"
"46","M","178629207"
"73","h","178553008"
"83","r","176199170"
"667","Ġany","174383779"
"806","Ġfirst","173261707"
"544","Ġ[","169907525"
"778","Ġmay","169526884"
"708","Ġ&","168797529"
"824","Ġsuch","168042335"
"689","Ġover","167098244"
"372","Ġde","163967397"
"840","Ġthen","163418160"
"330","ĠC","163032438"
"841","Ġthese","162639486"
"264","ed","162051833"
"87","v","161666019"
"26","9","160947307"
"86","u","160486901"
"709","ref","160049733"
"75","j","159749724"
"779","Ġhim","159218118"
"41","H","158910878"
"816","Ġjust","158881618"
"747","Ġnew","158596260"
"812","Ġcould","157818216"
"831","ĠThis","157393618"
"6","%","156505041"
"865","?""","154207995"
"308","ĠT","154082595"
"45","L","153606065"
"47","N","152468222"
"755","Ġget","152158689"
"846","Ġafter","151703322"
"577","Ġ4","151574595"
"875","Ġbetween","151400766"
"378","ĠB","151371354"
"881","type","148605675"
"367","ĠP","146364910"
"740","10","146249119"
"795","Ġ_","146135871"
"897","Ġuse","145748125"
"608","Ġ5","145576992"
"38","E","145056634"
"91","z","144657170"
"835","Ġwhere","144599358"
"77","l","144479545"
"209","Ġ","144036279"
"40","G","143416271"
"353","ĠM","143328813"
"908","Ġused","140963918"
"688","In","140753305"
"12","+","139817863"
"401","ĠF","138922165"
"50262","                ","138582890"
"870","</","138555182"
"904",".,","137860989"
"754","ĠHe","137369645"
"399","ĠD","135382589"
"4","#","135153042"
"844","ĠWe","134704318"
"464","{\","133890442"
"362","Ġv","133431239"
"891","Ġi","132926482"
"418","ĠL","131640845"
"941","Ġdata","130541353"
"952","Ġpeople","130095151"
"2","!","129120785"
"338","if","127276116"
"937",",""","126097662"
"970","Ġusing","125946095"
"416","ĠR","125619250"
"984","Ġbecause","124269990"
"973","Ġwell","123832237"
"849","Ġhow","123592657"
"261","is","122107327"
"268","Ġp","121839575"
"954","Ġmost","121435428"
"605","//","119729858"
"943","Ġshould","119690780"
"257","en","118653407"
"1008","Ġ[@","118197598"
"44","K","117925579"
"910","){","117917380"
"1016","Ġeach","117543398"
"871","Ġknow","117357678"
"388","ĠH","116020391"
"995",""",","115847409"
"254","er","115824970"
"443","ĠG","115785940"
"949","Ġthrough","115704486"
"884","Ġ10","114136655"
"1024","Ġnow","113750618"
"923","Ġsee","113709500"
"50273","     ","113528905"
"1039","Ġway","113493934"
"88","w","113190245"
"889","}\","112682831"
"789","Ġwork","111925520"
"805","12","111890000"
"996","Ċĉ","111726873"
"896","Ġback","111301164"
"721","Ġ6","110816948"
"265","es","110486263"
"427","ĠN","109822775"
"57","X","109701838"
"55","V","109680454"
"858","Ġdid","109462088"
"1056","Ġmake","109443109"
"964","Ġ.","109348603"
"762","Ġunder","109303344"
"251","on","108163967"
"1014","Ġeven","107947207"
"1072","Ġsame","107669489"
"263","or","107488824"
"1077","Ġvery","106996822"
"1078","Ġbefore","105317913"
"95","~","104837025"
"783","the","104106903"
"1097","Ġboth","103538824"
"611","ĠK","103289538"
"267","al","102943407"
"530","ĠU","102808111"
"1107","Ġyears","102653827"
"284","as","102492842"
"1110","Ġthose","102401521"
"1060","Ġhere","102284926"
"283","--","102247414"
"250","re","102078903"
"1053","Ġdon","100958672"
"361","00","100647819"
"278","Ġm","100594822"
"987","Ġright","99881507"
"1142","Ġmany","99713893"
"1108","ĠâĢĵ","99580035"
"395","and","99409923"
"277","Ġd","99187299"
"1146","Ġbeing","98561036"
"1083","Ġcase","98473045"
"93","|","97769422"
"1160","Ġmade","97571148"
"441","Ġus","97484972"
"1084","](#","97321092"
"883","11","97228548"
"878","Ġneed","97156735"
"818","Ġ7","96645627"
"444","ĠE","96537484"
"266","an","96288015"
"1027","Ġdifferent","96263334"
"1124","frac","96222062"
"56","W","96033379"
"82","q","95894778"
"873","Ġset","95414029"
"1186","âĢī","94981596"
"1180","Ġnumber","94849312"
"301","id","94375713"
"936","to","94176176"
"854","Ġ8","93052448"
"1199","Ġmuch","92586657"
"724","}$","91786786"
"274","ar","91335808"
"246","Ġt","91194699"
"1168","->","91119590"
"1119","Ġfound","90940635"
"926","fig","90787241"
"1157","Ġ,","90619595"
"398","ers","90252254"
"48","O","89327233"
"1175","Ġgood","89199674"
"295","Ġn","89066217"
"394","th","88701224"
"1147","It","88695417"
"681","com","88584106"
"1066","Ġdown","88412392"
"1276","What","88204495"
"918","right","88127678"
"500","ĠJ","88060533"
"1223","Ġwhile","87912057"
"971","Ġwant","87736590"
"50","Q","87670886"
"1231","We","87633565"
"256","Ġs","87600459"
"1029","Ġhigh","87480659"
"1128","âĢĶ","87122301"
"966","Ġclass","87015088"
"1254","Ġ\[[@","86920538"
"1264","Ġthree","86909966"
"43","J","86709976"
"2490","ĠĊ","86416996"
"260","Ġc","86212934"
"985","Ġsystem","85727535"
"2379","čĊ","85634497"
"423","end","85102422"
"314","ly","84897304"
"299","Ġe","84807422"
"440","Ġun","84498593"
"1274","left","84376934"
"1293","Ġwithout","83546670"
"1158","Ġthink","83471857"
"1263","Ġstudy","83261839"
"1253","âĢĵ","82473837"
"2309","return","82117099"
"298","Ġl","82095527"
"1309","Ġduring","82029023"
"657","ĠV","81927683"
"1048","Ġlong","81794097"
"270","Ġb","81629616"
"564","Ġgo","81554176"
"520","01","80912665"
"1358","://","80604630"
"1335","Ġstill","80416892"
"668","âĢĿ","80314405"
"375","os","80239514"
"1318","Ġvalue","80057693"
"654","Ġ<","80017140"
"629","Ġpart","79967995"
"1353","'m","79895163"
"1198","ĠFor","79787736"
"1051","...","79689359"
"255","at","79617947"
"269","Ġf","79515902"
"1341","Ġcells","79177135"
"1010","15","78642898"
"1126","_{\","78599776"
"1292","ĠBut","78581378"
"1281","ĠLet","78540252"
"1036","16","78539755"
"1363","Ġpatients","77862801"
"1394","You","77743606"
"58","Y","77668392"
"1057","Ġdoes","77531416"
"1214","Ġ@","77495137"
"565","int","77443186"
"1012","13","77339427"
"938","20","76909604"
"411","ĠW","76746945"
"1364","Ġmust","76474959"
"1340","Ġorder","76376811"
"280","ic","76320202"
"1310","ĠIf","76305555"
"465","Ġk","76086690"
"316","us","75949059"
"1159","Ġfunction","75924343"
"1379","Ġtake","75644122"
"305","Ġg","75440698"
"1375","Ġstate","75245041"
"1082","()","75196525"
"262","it","75007523"
"355","Ġal","74916107"
"1327","Ġnon","74653617"
"745","Ġoff","74143426"
"54","U","73901559"
"282","le","73807152"
"1413","Category","73380760"
"1388","Ġday","73344440"
"1387","Ġgroup","73175514"
"1411","Ġagainst","73147879"
"1552","This","72951035"
"1302","Ġcourt","72786813"
"990","Ġend","72755205"
"1425",".âĢĿ","72062411"
"50271","       ","71737798"
"1047","14","71721753"
"898","Ġ9","71662086"
"1035","(\","71377533"
"1352","$.","71160293"
"1093","18","71086390"
"1366","$,","71062830"
"1390","Ġlast","70997243"
"1217","}{","70842357"
"807","Ġyear","70802802"
"1269","Ġx","70275195"
"1416","Ġname","70075674"
"571","ia","69876528"
"1472","'re","69845882"
"1138",""">","69833143"
"1469","Ġgoing","69814018"
"933","000","69578132"
"717","Ġam","69572799"
"7","&","69537905"
"1162","Ġet","69438034"
"1273","Ġsecond","69411325"
"293","el","69073577"
"1475","Ġaround","69057161"
"1244","ĠAnd","68966589"
"1211","Ġown","68717758"
"1466","Let","68485708"
"494","able","68429728"
"288","Ġh","68311759"
"340","Ġy","68082470"
"1491","Ġinformation","68003877"
"59","Z","67987159"
"1089","Ġfind","67966629"
"1092","],","67823812"
"1495","Ġlife","67796683"
"1512","Ġtoo","67546967"
"1284","ĠAs","67103038"
"1040","Ġ|","66907476"
"1476","!""","66790922"
"1383","',","66764840"
"1450","::","66306349"
"312","am","66266072"
"391","Ġr","66110298"
"1422","ĠYou","66103944"
"1529","Ġanother","65933076"
"826","Ġla","65326064"
"473","ĠO","65221645"
"1166","17","65214741"
"1543","Ġresults","65173796"
"466","ie","65037892"
"292","et","65005224"
"637","Ġman","64954219"
"1237","32","64917778"
"1537","Ġmight","64861217"
"296","st","64430405"
"50268","          ","64378062"
"1563","Ġfollowing","64171511"
"1561","Ġwithin","63942629"
"1249","Ġ12","63889339"
"1588","mathcal","63058507"
"1381",""":","63054920"
"1511","Ġtype","62846500"
"1333","Ġsay","62409623"
"1500","ĠShe","62351864"
"1580","Ġsince","61878644"
"768","^{","61695570"
"1583","ĠThey","61681689"
"1127","Ġpoint","61361609"
"1311","CR","61254598"
"258","Ġo","61082000"
"1046","Ġevery","60808411"
"1163","Ġ:","60431824"
"1533","Ġworld","60320440"
"366","ate","60305525"
"1633","Ġsomething","60199285"
"1009",")$","59996661"
"1453","Ġcontrol","59810252"
"746","19","59562339"
"1570","].","59525595"
"591","Ġper","59347477"
"921","Ġshow","59317034"
"1650","Ġexample","59251181"
"1652","Ġlittle","59092893"
"1656","]\].","58990064"
"1566","Ġmodel","58906722"
"1620","Ġnever","58620976"
"788","get","58556346"
"1663","Ġreally","58459327"
"1361","Ġhelp","58265034"
"1637","alpha","58105519"
"1246","Ġpresent","57638838"
"1677","Ġgiven","57547477"
"1669","Ġleft","57517139"
"894","Ġcell","57116885"
"1682","Ġbest","57055184"
"830","Ġform","57019029"
"1099","25","56775915"
"1690","Ġincluding","56763576"
"1355","Ġsmall","56694577"
"1628","âĢľ","56687820"
"1587","(""","56657687"
"988","Ċĉĉ","56551141"
"1386","Ġline","56391869"
"1712","Ġ{#","55999581"
"1705","Ġcome","55952733"
"1384","Ġ20","55923757"
"696","\]","55727321"
"1621","ĠNo","55629062"
"1171","of","55505528"
"1643","Ġfew","55426532"
"1659","Ġplace","55410607"
"1457","ĠNew","55299544"
"259","Ġw","55235463"
"1232","Ġprocess","55186578"
"1229","30","54782799"
"1735","Ġnext","54732497"
"1694","Ġgot","54552929"
"1723","ĠHowever","54339353"
"1754","Ġbased","54131750"
"33","@","54096581"
"318","ation","54073538"
"382","ist","53705927"
"294","Ġre","53569250"
"480","Ġj","53482241"
"969","Ġagain","53410305"
"386","ant","53277663"
"1707","ĠThere","53209084"
"1737","ĠWhat","53097648"
"546","Ġen","53074416"
"348","ch","53073795"
"1328","He","52980219"
"1764","Ġ$$\","52729338"
"1783","Ġanalysis","52614621"
"1781","Ġlarge","52595077"
"1806",",âĢĿ","52441918"
"1805","Ġbetter","52096777"
"1270","Ġgreat","52079806"
"1612","Ġpower","51975506"
"1458","Ġ15","51875140"
"906","Ġresult","51860072"
"1728","Ġhome","51707602"
"1818","Ġchange","51647731"
"1329","Ġsupport","51640351"
"1833","'ll","51456018"
"1007","Ġlook","51217806"
"1871","'d","51156379"
"1337",",\","51050791"
"324","ad","50809695"
"1824","Ġwater","50803749"
"1849","'ve","50775177"
"1840","Ġabove","50723893"
"1841","Ġthings","50721359"
"1332","Ġmethod","50634948"
"905","Ġ\[","50490434"
"1679","Ġless","50234853"
"1774","Ġimportant","50168348"
"599","}}","50126878"
"1348","24","49815229"
"958","Ġfact","49786340"
"460","ine","49745079"
"311","ol","49736311"
"1603","}(","49647125"
"328","un","49442500"
"1878","Ġleast","49341882"
"1283","Ġ18","49304671"
"1873","Ġfile","49281452"
"300","il","49280447"
"2042","If","49209748"
"1880","Ġwhether","49091913"
"1905","ĠâĢĶ","49033750"
"1071","Ġtest","49014970"
"1753","Ġque","48891655"
"1268","Ġlevel","48882347"
"1896","Ġpossible","48660561"
"1182","Ġz","48518350"
"1898","And","48456968"
"1900","Ġalways","48322944"
"1907","Ġhaving","48253129"
"1918","Ġgive","48114672"
"1897","Ġdays","48076232"
"1904","Ġdidn","48059959"
"1542","for","48022426"
"2023","},","48001839"
"1133","Ġhand","47990188"
"1698","Ġlow","47941188"
"1423","22","47894119"
"317","ac","47791445"
"1925","Ġcalled","47709784"
"1874","();","47605234"
"484","up","47576865"
"1929","Ġknown","47467239"
"50269","         ","47452903"
"1895","Ġproblem","47444355"
"1156","text","47369438"
"1919","Ġuntil","47263766"
"1941","Ġevidence","47253742"
"1508","23","46716834"
"860","Ã©","46621346"
"1955","Ġdue","46618683"
"303","im","46573614"
"1572",")\","46311830"
"1228","))","46307210"
"1909","As","46168146"
"1797","21","46150252"
"447","ies","46033238"
"1906","mu","46017360"
"1590","name","46006580"
"1971","Ġtreatment","45885680"
"1977","Ġaway","45872886"
"2520","this","45802069"
"358","em","45774916"
"1930","Ġside","45774827"
"1594","ĠX","45696727"
"1342","man","45489586"
"1740","Ġfour","45450721"
"1055","Ġeffect","45436017"
"1968","label","45332414"
"383","est","45308266"
"50258","                    ","45298549"
"2011","Ġshown","45233554"
"1708","Ġlight","45147913"
"190","č","44904335"
"1992","To","44833363"
"1599","Ġmean","44818284"
"1691","Ġput","44744571"
"1401","Ġ**","44661376"
"2021","Ġfamily","44580090"
"2014","Ġsingle","44571472"
"50264","              ","44220332"
"1673","Ġfield","44200334"
"360","um","44100127"
"2007","Ġfurther","44089581"
"1235","50","44050820"
"1903","Ġ11","43948253"
"1916","ĠTo","43896907"
"1481","Ġhead","43809684"
"1345","Ġpublic","43658622"
"1991","mathbb","43602086"
"1540","64","43569934"
"2041","pone","43569313"
"2048","Ġexpression","43557867"
"2032","Ġtrue","43542258"
"1447","\[","43436493"
"2057","Ġeither","43374018"
"357","ab","43342566"
"1986","ĠUnited","43323795"
"1926","Ġ{\","43231951"
"1846","Ġcommon","43212917"
"1738","Ġ*/","43195847"
"1668","Ġ16","43139516"
"2067","Ġseveral","43122225"
"2043","begin","43064184"
"659","ĠSt","43011308"
"757","ian","42843653"
"1966","Ġhuman","42741216"
"1711","Ġold","42722358"
"2053","ĠThese","42625311"
"1821","Ġmen","42582858"
"2069","Ġtimes","42492403"
"1959","Ġfree","42393919"
"986","""}","42337795"
"2085","Ġprovide","42337233"
"1109","rm","42325681"
"287","ro","42260118"
"2104","Ġable","42226540"
"1524","Ġreal","42174015"
"2097","Ġmeans","42154295"
"2203","data","42104466"
"2064","ĠThat","41956119"
"1339","Ġlet","41823656"
"343","ir","41811097"
"1762","05","41789084"
"2302","No","41778370"
"1989","But","41726291"
"2139","Ġwhy","41718039"
"2130","Ġavailable","41711986"
"2077","ĠStates","41692851"
"1869","Ġthought","41608464"
"1569","Ġlaw","41515883"
"1503","ĠZ","41478534"
"290","ent","41436167"
"1979","Ġsize","41429728"
"2120","Ġfull","41391624"
"1638","Ġ14","41389177"
"2133","Ġbody","41282766"
"1501","Ġpost","41265263"
"321","ur","41259362"
"306","ve","41196584"
"1449","40","41164417"
"2044","var","41057022"
"2127","Ġcode","41004850"
"2132","aligned","40999411"
"2214","For","40834640"
"1996","Ġlater","40833017"
"714","ĠY","40832192"
"2167","Ġthough","40782663"
"437","ell","40757141"
"2168","Ġalready","40693608"
"1527","Ġopen","40689321"
"2111","ĠCourt","40680369"
"2151","Ġchildren","40679971"
"1884","Ġ30","40673368"
"376","ra","40659562"
"1655","Ġcurrent","40630141"
"2181","Ġthing","40599132"
"1227","Ġ/","40568391"
"2169","Ġhigher","40503978"
"335","ul","40446936"
"2138","}$$","40300493"
"2091","ĠWhen","40261042"
"297","om","40252746"
"2175","Ġstudies","40247542"
"456","ated","40234320"
"2183","Ġtold","40214202"
"2170","Ġarea","40173891"
"2080","Ġfar","40066061"
"2193","Ġvalues","39980397"
"1893","ĠSo","39713845"
"2217","Ġenough","39680738"
"2210","Ġcame","39618707"
"1534","Ġsignificant","39608415"
"1630","27","39593948"
"2165","Ġgame","39579420"
"900","io","39515199"
"2099","usepackage","39499742"
"2223","Ġoften","39362488"
"2220","Ġupon","39315384"
"1408","Ġrun","39292564"
"2219","Ġcases","39283734"
"2218","Ġdone","39263657"
"4387","public","39172411"
"540","Ġint","39160878"
"2119","Ġsure","39070930"
"1876","ĠAll","39037860"
"1755","Ġtop","38967907"
"1619","28","38920974"
"839","ating","38869410"
"1557","Ġcare","38807809"
"483","out","38755634"
"1953","Ġquestion","38633621"
"2228","Ġerror","38633017"
"1980","Ġlocal","38622097"
"2074","Ġsimilar","38611825"
"2154","div","38605359"
"1178","set","38591652"
"1438","80","38576152"
"2255","Ġwomen","38303689"
"1470","Fig","38277303"
"2112","Ġalong","38271638"
"2257","Ġlot","38258718"
"2282","Ġcourse","38249470"
"414","ity","38240717"
"1731","26","38210225"
"302","ot","38199131"
"2264","Ġtotal","38198738"
"2250","Ġaction","38190217"
"2296","Ġsays","38140068"
"2281","Ġrate","38129817"
"965","li","38095251"
"1722","Ġ17","38080312"
"2260","lambda","38072958"
"1881","Ġself","38054263"
"2087","Ġgeneral","37985341"
"2208","Ġgovernment","37955017"
"2299","Ġhowever","37937531"
"2253","_\","37907300"
"749","Ġsub","37726206"
"1484","Ġu","37687615"
"2059","pi","37681986"
"2308","Ġlevels","37612391"
"1067","Ġcall","37608284"
"1786","Ġhealth","37559524"
"2190","Ġamong","37554443"
"2413","http","37462286"
"2326","Ġseen","37389633"
"2332","Ġtrial","37349857"
"50265","             ","37286043"
"2335","Ġtook","37250415"
"304","ig","37191210"
"2330","Ġassociated","37148443"
"531","one","37112732"
"2285","Ġteam","37106649"
"1239","Ġread","37049622"
"2341","Ġenergy","36957265"
"1436","Ġperson","36902954"
"1265","Ġstart","36892718"
"396","Ġse","36807298"
"2000","}_","36783341"
"518","ak","36777895"
"570","ne","36708499"
"2233","Ġ100","36688380"
"2073","('","36644963"
"3122","/*","36640955"
"2317","Ġspace","36472923"
"356","ag","36465741"
"2366","Ġtogether","36362674"
"2262","):","36295157"
"2420","table","36274433"
"1671","35","36179847"
"1623","ĠOn","36127276"
"1717","29","36014208"
"2363","Ġage","35885225"
"2512","There","35839221"
"748","Ġ}","35790542"
"2378","Ġonce","35789223"
"2145","Ġ13","35713991"
"615","de","35662716"
"1704","sec","35598047"
"2389","Ġlove","35518934"
"248","he","35474175"
"2061","org","35450960"
"2390","Ġgroups","35428272"
"2403","Ġmaking","35421098"
"2380","Ġresponse","35398950"
"2393","Ġearly","35345836"
"2425","Ġactivity","35216105"
"2194","];","35183029"
"412","op","35179066"
"2427","Ġwent","35151451"
"1204","ism","35091665"
"2444","Ġworking","34992196"
"2173","Ġspecific","34984395"
"2367","Ġ${\","34961093"
"2313","100","34948120"
"2429","Ġcompared","34878804"
"2136","Ġbusiness","34831893"
"2426","Ġterms","34821091"
"2424","Ġrequired","34781860"
"2026","}_{","34781819"
"522","ap","34713327"
"1618","Ġlist","34703629"
"2439","Ġacross","34669021"
"2407","mathbf","34447372"
"1978","Ġkeep","34416898"
"2455","Ġever","34413202"
"638","Ġpre","34382911"
"1132","Ġplay","34358841"
"2448","ĠAmerican","34347072"
"2418","ĠState","34286113"
"2479","Ġ([@","34241869"
"2361","Ġreported","34189307"
"1532","---","34175076"
"2498","]).","34093339"
"1610","33","34059032"
"442","te","33996683"
"2489","Ġbecome","33968181"
"2406","Ġlower","33911414"
"458","Ġle","33838359"
"2454","Ġface","33791392"
"1899","Ġposition","33790012"
"2509","Ġdoing","33738704"
"743","ĠAn","33724820"
"2460","Ġimage","33607392"
"2499","ĠUniversity","33606137"
"2295","Ġ==","33603525"
"2491","Ġrange","33603210"
"2515","Ġconditions","33463734"
"2486","Ġinclude","33440190"
"569","ations","33429462"
"2523","Ġissue","33427782"
"2461","beta","33342022"
"2058","ĠAt","33341792"
"1025","ized","33328807"
"1706","34","33189669"
"2546","Ġasked","33175245"
"2470","Ġ([","33174617"
"2506","Ġdoesn","33158912"
"431","pt","33144560"
"2538","Ġeffects","33144497"
"2022","Ġmain","33137720"
"2530","Ġprovided","33133479"
"1798","Ġparticular","33130427"
"2234","Ġkey","33115583"
"2529","Ġdescribed","33043869"
"2495","Ġrisk","32978752"
"2010","Ġelse","32975148"
"2544","Ġchanges","32967296"
"1892","Ġhard","32926199"
"2442","Ġpotential","32825639"
"2536","""}).","32809356"
"2553","Ġsurface","32777351"
"2360","Ġnight","32772417"
"723","ings","32727019"
"1969","Ġ--","32688794"
"307","ut","32645625"
"2559","Ġincreased","32629224"
"2548","Type","32609463"
"2540","Ġobserved","32601390"
"2550","Ġcannot","32541282"
"2554","Ġrole","32503931"
"2440","Ġdevelopment","32492493"
"1857","45","32479059"
"1549","60","32443291"
"1635","Ġaddition","32431606"
"2316","Ġroom","32400236"
"2568","Ġyet","32384839"
"1812","36","32370338"
"2009","bar","32333601"
"2592","sigma","32301711"
"2583","Ġmoney","32277533"
"2572","Ġincrease","32269215"
"2402","Name","32151185"
"2581","Ġrather","32143004"
"2571","Ġothers","32138036"
"2567","Ġcompany","32111750"
"2457","Ġfinal","32013120"
"2561","Ġresearch","31992434"
"1743","^{\","31972993"
"2143","Ġschool","31890602"
"373","res","31810157"
"2579","Ġservice","31796226"
"422","ive","31782378"
"486","age","31723579"
"2605","Ġstructure","31690155"
"2204","sum","31659824"
"1838","ID","31654446"
"2129","Ġweek","31628543"
"2607","Ġmonths","31607201"
"2164","Ġ24","31603686"
"2601","Ġprotein","31567500"
"2383","bib","31510682"
"1990","}^{","31481544"
"1703","ED","31456155"
"2644","Ġwhole","31418830"
"2593","Ġsection","31417092"
"2703","string","31409743"
"339","se","31407600"
"2626","Ġthird","31398078"
"2620","Ġfive","31386158"
"2469","Ġpast","31384371"
"2616","Ġfactors","31366274"
"2603","Ġsource","31345085"
"50263","               ","31319960"
"2405","31","31289630"
"1091","Ġreturn","31258598"
"2647","Ġmatter","31249173"
"2551","span","31241512"
"1928","Ġfeel","31231529"
"2180","Ġperiod","31158236"
"2586","Ġcountry","31041532"
"2028","Ġtell","31000564"
"2598","So","30905642"
"2668","Ġtaken","30873364"
"1943","Ġbig","30818797"
"2670","Ġsite","30815045"
"2698",".)","30798679"
"2773","That","30793746"
"2086","Ġprogram","30790255"
"2513","Is","30774486"
"2635","ĠThen","30764035"
"2700","www","30753023"
"968","ins","30749060"
"2596","ĠOne","30718846"
"1859","Ġview","30718244"
"641","ors","30708497"
"2159","Ġshort","30684635"
"2684","Ġperformed","30668588"
"561","ens","30663171"
"2464",".'","30650091"
"1984","Ġbook","30639995"
"2712","Ġanything","30608497"
"455","all","30605378"
"2686","Ġactually","30586081"
"683","[@","30536401"
"2692","Ġshowed","30446267"
"2238","Ġkind","30434125"
"2609","sqrt","30362967"
"463","ge","30348976"
"2387","Ġ)","30341463"
"2709","Ġmultiple","30332382"
"2030","Ġ25","30322687"
"1113","Ġcar","30273138"
"1852","Ġ#","30248392"
"2710","Ġvarious","30248034"
"2722","Ġshows","30216369"
"2708","Ġbelow","30196428"
"2556","Ġaccording","30176301"
"2715","Ġversion","30170717"
"2717","Ġnothing","30169736"
"2718","Ġsystems","30153685"
"65","`","30114593"
"1839","38","30075885"
"2125","04","30034679"
"279","ion","29994841"
"2374","On","29898404"
"2690","mathrm","29770581"
"2728","Ġdisease","29761320"
"2614","Ġblood","29736973"
"2769",")(","29699333"
"1479","ik","29646200"
"50267","           ","29602531"
"2608","Ġuser","29484627"
"1611","Ġtry","29470372"
"2590","Ġclear","29414683"
"2733","gamma","29409637"
"2629","Ġstandard","29381885"
"2675","Ġsocial","29367578"
"2761","Ġalmost","29322040"
"532","ip","29282496"
"276","ou","29270163"
"2372","Ġbit","29245099"
"2779","Ġlikely","29195101"
"2762","Ġpositive","29177655"
"2329","Ġair","29169653"
"1867","39","29144786"
"2456","Ġ50","29121588"
"2347","How","29119452"
"350","ter","29104048"
"2792","Ġpoints","29084376"
"2600","Ġcontent","29082675"
"2305","ĠMr","29072047"
"1307","Ġterm","29071623"
"2783","Ġconsidered","29064115"
